"estimator","meta_average_multiplier","heterogeneity_multiplier","setup_label","outlier_variant","measure","estimate","confidence_interval"
"multilevel_random",0.25,0,"meta_0p25_heterogeneity_0","outliers_removed","ESR_{0.05}^{all}","0.309","[0.292, 0.33]"
"multilevel_random",0.25,0,"meta_0p25_heterogeneity_0","outliers_removed","ESR_{0.05}^{sig}","0.586","[0.564, 0.621]"
"multilevel_random",0.25,0,"meta_0p25_heterogeneity_0","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",0.25,0,"meta_0p25_heterogeneity_0","outliers_removed","No. of tests","63823","0"
"pet_peese",0.25,0,"meta_0p25_heterogeneity_0","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",0.25,0,"meta_0p25_heterogeneity_0","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",0.25,0,"meta_0p25_heterogeneity_0","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",0.25,0,"meta_0p25_heterogeneity_0","outliers_removed","No. of tests","63807","0"
"multilevel_random",0.25,0.25,"meta_0p25_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{all}","0.199","[0.177, 0.218]"
"multilevel_random",0.25,0.25,"meta_0p25_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{sig}","0.378","[0.357, 0.408]"
"multilevel_random",0.25,0.25,"meta_0p25_heterogeneity_0p25","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",0.25,0.25,"meta_0p25_heterogeneity_0p25","outliers_removed","No. of tests","63823","0"
"pet_peese",0.25,0.25,"meta_0p25_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",0.25,0.25,"meta_0p25_heterogeneity_0p25","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",0.25,0.25,"meta_0p25_heterogeneity_0p25","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",0.25,0.25,"meta_0p25_heterogeneity_0p25","outliers_removed","No. of tests","63807","0"
"multilevel_random",0.25,0.5,"meta_0p25_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{all}","0.142","[0.117, 0.163]"
"multilevel_random",0.25,0.5,"meta_0p25_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{sig}","0.27","[0.248, 0.3]"
"multilevel_random",0.25,0.5,"meta_0p25_heterogeneity_0p5","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",0.25,0.5,"meta_0p25_heterogeneity_0p5","outliers_removed","No. of tests","63823","0"
"pet_peese",0.25,0.5,"meta_0p25_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",0.25,0.5,"meta_0p25_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",0.25,0.5,"meta_0p25_heterogeneity_0p5","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",0.25,0.5,"meta_0p25_heterogeneity_0p5","outliers_removed","No. of tests","63807","0"
