"","Difference","0.95 CI"
"0.9 < p","-0.001","[-0.005, 0.002]"
"0.8 < p < 0.9","-0.014","[-0.018, -0.011]"
"0.7 < p < 0.8","-0.014","[-0.018, -0.011]"
"0.6 < p < 0.7","-0.019","[-0.023, -0.016]"
"0.5 < p < 0.6","-0.015","[-0.019, -0.012]"
"0.4 < p < 0.5","-0.02","[-0.024, -0.017]"
"0.3 < p < 0.4","-0.024","[-0.028, -0.021]"
"0.2 < p < 0.3","-0.028","[-0.032, -0.025]"
"0.1 < p < 0.2","-0.029","[-0.033, -0.026]"
"0.05 < p < 0.1","-0.015","[-0.017, -0.013]"
"0.01 < p < 0.05","-0.004","[-0.006, -0.002]"
"0.001 < p < 0.01","0.011","[0.01, 0.015]"
"p < 0.001","0.173","[0.143, 0.206]"
"ESR_{0.1}^{all}","0.165","[0.137, 0.199]"
"ESR_{0.05}^{all}","0.18","[0.15, 0.214]"
"ESR_{0.1}^{sig}","0.284","[0.25, 0.322]"
"ESR_{0.05}^{sig}","0.34","[0.301, 0.383]"
"No. of meta-analysis","704","0"
"No. of tests","63251","0"
