"","Difference","0.95 CI"
"0.9 < p","-0.006","[-0.011, -0.003]"
"0.8 < p < 0.9","-0.018","[-0.023, -0.016]"
"0.7 < p < 0.8","-0.019","[-0.024, -0.016]"
"0.6 < p < 0.7","-0.023","[-0.028, -0.02]"
"0.5 < p < 0.6","-0.019","[-0.023, -0.016]"
"0.4 < p < 0.5","-0.024","[-0.029, -0.021]"
"0.3 < p < 0.4","-0.028","[-0.032, -0.025]"
"0.2 < p < 0.3","-0.031","[-0.035, -0.028]"
"0.1 < p < 0.2","-0.03","[-0.033, -0.027]"
"0.05 < p < 0.1","-0.013","[-0.015, -0.011]"
"0.01 < p < 0.05","0","[-0.002, 0.005]"
"0.001 < p < 0.01","0.016","[0.014, 0.022]"
"p < 0.001","0.193","[0.162, 0.227]"
"ESR_{0.1}^{all}","0.196","[0.17, 0.238]"
"ESR_{0.05}^{all}","0.21","[0.181, 0.251]"
"ESR_{0.1}^{sig}","0.336","[0.305, 0.387]"
"ESR_{0.05}^{sig}","0.394","[0.358, 0.452]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
