"","Difference","0.95 CI"
"0.9 < p","-0.014","[-0.017, -0.011]"
"0.8 < p < 0.9","-0.027","[-0.03, -0.024]"
"0.7 < p < 0.8","-0.027","[-0.03, -0.024]"
"0.6 < p < 0.7","-0.031","[-0.034, -0.028]"
"0.5 < p < 0.6","-0.027","[-0.03, -0.023]"
"0.4 < p < 0.5","-0.031","[-0.035, -0.028]"
"0.3 < p < 0.4","-0.034","[-0.037, -0.03]"
"0.2 < p < 0.3","-0.036","[-0.039, -0.032]"
"0.1 < p < 0.2","-0.031","[-0.035, -0.027]"
"0.05 < p < 0.1","-0.01","[-0.012, -0.007]"
"0.01 < p < 0.05","0.012","[0.01, 0.014]"
"0.001 < p < 0.01","0.028","[0.026, 0.032]"
"p < 0.001","0.227","[0.193, 0.259]"
"ESR_{0.1}^{all}","0.257","[0.227, 0.287]"
"ESR_{0.05}^{all}","0.267","[0.234, 0.299]"
"ESR_{0.1}^{sig}","0.444","[0.403, 0.477]"
"ESR_{0.05}^{sig}","0.506","[0.458, 0.547]"
"No. of meta-analysis","704","0"
"No. of tests","63251","0"
