"","Difference","0.95 CI"
"0.9 < p","0.007","[0.004, 0.009]"
"0.8 < p < 0.9","-0.006","[-0.009, -0.004]"
"0.7 < p < 0.8","-0.006","[-0.009, -0.004]"
"0.6 < p < 0.7","-0.01","[-0.013, -0.008]"
"0.5 < p < 0.6","-0.006","[-0.009, -0.004]"
"0.4 < p < 0.5","-0.011","[-0.014, -0.008]"
"0.3 < p < 0.4","-0.014","[-0.018, -0.012]"
"0.2 < p < 0.3","-0.017","[-0.021, -0.014]"
"0.1 < p < 0.2","-0.017","[-0.021, -0.013]"
"0.05 < p < 0.1","-0.007","[-0.009, -0.005]"
"0.01 < p < 0.05","0.001","[-0.001, 0.003]"
"0.001 < p < 0.01","0.006","[0.005, 0.009]"
"p < 0.001","0.081","[0.052, 0.114]"
"ESR_{0.1}^{all}","0.08","[0.057, 0.111]"
"ESR_{0.05}^{all}","0.087","[0.062, 0.12]"
"ESR_{0.1}^{sig}","0.138","[0.115, 0.166]"
"ESR_{0.05}^{sig}","0.165","[0.139, 0.199]"
"No. of meta-analysis","704","0"
"No. of tests","63251","0"
