"","Difference","0.95 CI"
"0.9 < p","0.004","[0.001, 0.006]"
"0.8 < p < 0.9","-0.009","[-0.012, -0.007]"
"0.7 < p < 0.8","-0.009","[-0.013, -0.007]"
"0.6 < p < 0.7","-0.014","[-0.017, -0.012]"
"0.5 < p < 0.6","-0.01","[-0.013, -0.008]"
"0.4 < p < 0.5","-0.015","[-0.019, -0.013]"
"0.3 < p < 0.4","-0.02","[-0.023, -0.017]"
"0.2 < p < 0.3","-0.023","[-0.027, -0.02]"
"0.1 < p < 0.2","-0.025","[-0.029, -0.02]"
"0.05 < p < 0.1","-0.013","[-0.016, -0.009]"
"0.01 < p < 0.05","-0.004","[-0.009, 0.002]"
"0.001 < p < 0.01","0.008","[0.005, 0.012]"
"p < 0.001","0.13","[0.094, 0.166]"
"ESR_{0.1}^{all}","0.121","[0.099, 0.151]"
"ESR_{0.05}^{all}","0.134","[0.108, 0.166]"
"ESR_{0.1}^{sig}","0.209","[0.171, 0.243]"
"ESR_{0.05}^{sig}","0.254","[0.206, 0.295]"
"No. of meta-analysis","704","0"
"No. of tests","63251","0"
