"","Difference","0.95 CI"
"0.9 < p","0.019","[0.015, 0.021]"
"0.8 < p < 0.9","0.006","[0.002, 0.008]"
"0.7 < p < 0.8","0.006","[0.002, 0.008]"
"0.6 < p < 0.7","0.001","[-0.003, 0.004]"
"0.5 < p < 0.6","0.005","[0.001, 0.008]"
"0.4 < p < 0.5","0","[-0.004, 0.003]"
"0.3 < p < 0.4","-0.004","[-0.009, -0.001]"
"0.2 < p < 0.3","-0.008","[-0.013, -0.005]"
"0.1 < p < 0.2","-0.011","[-0.017, -0.007]"
"0.05 < p < 0.1","-0.009","[-0.012, -0.006]"
"0.01 < p < 0.05","-0.012","[-0.017, -0.009]"
"0.001 < p < 0.01","-0.013","[-0.016, -0.01]"
"p < 0.001","0.021","[-0.011, 0.063]"
"ESR_{0.1}^{all}","-0.013","[-0.038, 0.025]"
"ESR_{0.05}^{all}","-0.004","[-0.031, 0.037]"
"ESR_{0.1}^{sig}","-0.023","[-0.049, 0.014]"
"ESR_{0.05}^{sig}","-0.008","[-0.038, 0.034]"
"No. of meta-analysis","704","0"
"No. of tests","63251","0"
