"","Difference","0.95 CI"
"0.9 < p","0.013","[0.007, 0.015]"
"0.8 < p < 0.9","0","[-0.006, 0.002]"
"0.7 < p < 0.8","0","[-0.006, 0.002]"
"0.6 < p < 0.7","-0.005","[-0.01, -0.002]"
"0.5 < p < 0.6","0","[-0.006, 0.002]"
"0.4 < p < 0.5","-0.006","[-0.011, -0.003]"
"0.3 < p < 0.4","-0.009","[-0.015, -0.007]"
"0.2 < p < 0.3","-0.013","[-0.019, -0.01]"
"0.1 < p < 0.2","-0.014","[-0.019, -0.01]"
"0.05 < p < 0.1","-0.009","[-0.011, -0.006]"
"0.01 < p < 0.05","-0.007","[-0.012, -0.003]"
"0.001 < p < 0.01","-0.005","[-0.01, 0.001]"
"p < 0.001","0.055","[0.024, 0.103]"
"ESR_{0.1}^{all}","0.035","[0.011, 0.084]"
"ESR_{0.05}^{all}","0.043","[0.017, 0.095]"
"ESR_{0.1}^{sig}","0.059","[0.036, 0.117]"
"ESR_{0.05}^{sig}","0.081","[0.052, 0.146]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
