"","Difference","0.95 CI"
"0.9 < p","0.018","[0.016, 0.02]"
"0.8 < p < 0.9","0.005","[0.003, 0.007]"
"0.7 < p < 0.8","0.005","[0.003, 0.007]"
"0.6 < p < 0.7","0.001","[-0.002, 0.003]"
"0.5 < p < 0.6","0.005","[0.002, 0.007]"
"0.4 < p < 0.5","0.001","[-0.002, 0.003]"
"0.3 < p < 0.4","-0.003","[-0.006, -0.001]"
"0.2 < p < 0.3","-0.005","[-0.009, -0.003]"
"0.1 < p < 0.2","-0.005","[-0.009, -0.002]"
"0.05 < p < 0.1","-0.002","[-0.005, 0]"
"0.01 < p < 0.05","0.001","[-0.003, 0.005]"
"0.001 < p < 0.01","-0.002","[-0.003, 0.001]"
"p < 0.001","-0.021","[-0.048, 0.015]"
"ESR_{0.1}^{all}","-0.023","[-0.041, 0.005]"
"ESR_{0.05}^{all}","-0.021","[-0.042, 0.01]"
"ESR_{0.1}^{sig}","-0.04","[-0.054, -0.021]"
"ESR_{0.05}^{sig}","-0.04","[-0.054, -0.016]"
"No. of meta-analysis","704","0"
"No. of tests","63251","0"
