"measure","heterogeneity_0","heterogeneity_0.25","heterogeneity_0.5","heterogeneity_0.75"
"0.9 < p","-0.001 [-0.005, 0.002]","0.003 [0, 0.005]","0.007 [0.004, 0.009]","0.01 [0.007, 0.012]"
"0.8 < p < 0.9","-0.014 [-0.018, -0.011]","-0.01 [-0.013, -0.008]","-0.006 [-0.009, -0.004]","-0.003 [-0.006, -0.001]"
"0.7 < p < 0.8","-0.014 [-0.018, -0.011]","-0.01 [-0.014, -0.008]","-0.006 [-0.009, -0.004]","-0.003 [-0.006, -0.001]"
"0.6 < p < 0.7","-0.019 [-0.023, -0.016]","-0.014 [-0.018, -0.012]","-0.01 [-0.013, -0.008]","-0.007 [-0.01, -0.005]"
"0.5 < p < 0.6","-0.015 [-0.019, -0.012]","-0.01 [-0.014, -0.008]","-0.006 [-0.009, -0.004]","-0.003 [-0.006, -0.001]"
"0.4 < p < 0.5","-0.02 [-0.024, -0.017]","-0.015 [-0.019, -0.013]","-0.011 [-0.014, -0.008]","-0.008 [-0.011, -0.005]"
"0.3 < p < 0.4","-0.024 [-0.028, -0.021]","-0.019 [-0.022, -0.016]","-0.014 [-0.018, -0.012]","-0.011 [-0.015, -0.009]"
"0.2 < p < 0.3","-0.028 [-0.032, -0.025]","-0.022 [-0.025, -0.019]","-0.017 [-0.021, -0.014]","-0.014 [-0.018, -0.011]"
"0.1 < p < 0.2","-0.029 [-0.033, -0.026]","-0.021 [-0.025, -0.018]","-0.017 [-0.021, -0.013]","-0.013 [-0.017, -0.01]"
"0.05 < p < 0.1","-0.015 [-0.017, -0.013]","-0.009 [-0.011, -0.007]","-0.007 [-0.009, -0.005]","-0.005 [-0.008, -0.003]"
"0.01 < p < 0.05","-0.004 [-0.006, -0.002]","0 [-0.002, 0.003]","0.001 [-0.001, 0.003]","0.002 [0, 0.004]"
"0.001 < p < 0.01","0.011 [0.01, 0.015]","0.008 [0.008, 0.012]","0.006 [0.005, 0.009]","0.005 [0.004, 0.007]"
"p < 0.001","0.173 [0.143, 0.206]","0.121 [0.092, 0.15]","0.081 [0.052, 0.114]","0.051 [0.022, 0.086]"
"ESR_{0.1}^{all}","0.165 [0.137, 0.199]","0.12 [0.096, 0.15]","0.08 [0.057, 0.111]","0.052 [0.029, 0.083]"
"ESR_{0.05}^{all}","0.18 [0.15, 0.214]","0.129 [0.103, 0.161]","0.087 [0.062, 0.12]","0.057 [0.032, 0.091]"
"ESR_{0.1}^{sig}","0.284 [0.25, 0.322]","0.206 [0.182, 0.234]","0.138 [0.115, 0.166]","0.09 [0.068, 0.118]"
"ESR_{0.05}^{sig}","0.34 [0.301, 0.383]","0.244 [0.216, 0.277]","0.165 [0.139, 0.199]","0.109 [0.085, 0.143]"
"No. of meta-analysis","704","704","704","704"
"No. of tests","63251","63251","63251","63251"
