"measure","heterogeneity_0","heterogeneity_0.25","heterogeneity_0.5","heterogeneity_0.75"
"0.9 < p","-0.001 [-0.005, 0]","0.003 [0.001, 0.005]","0.007 [0.005, 0.009]","0.01 [0.008, 0.012]"
"0.8 < p < 0.9","-0.014 [-0.017, -0.012]","-0.009 [-0.012, -0.008]","-0.005 [-0.007, -0.003]","-0.002 [-0.004, 0]"
"0.7 < p < 0.8","-0.014 [-0.017, -0.012]","-0.01 [-0.012, -0.008]","-0.005 [-0.008, -0.003]","-0.002 [-0.004, 0]"
"0.6 < p < 0.7","-0.018 [-0.022, -0.017]","-0.014 [-0.016, -0.012]","-0.009 [-0.012, -0.007]","-0.006 [-0.008, -0.004]"
"0.5 < p < 0.6","-0.014 [-0.017, -0.013]","-0.009 [-0.012, -0.007]","-0.005 [-0.007, -0.003]","-0.002 [-0.004, 0.001]"
"0.4 < p < 0.5","-0.02 [-0.023, -0.018]","-0.014 [-0.017, -0.013]","-0.01 [-0.012, -0.008]","-0.007 [-0.009, -0.004]"
"0.3 < p < 0.4","-0.024 [-0.027, -0.023]","-0.018 [-0.021, -0.016]","-0.014 [-0.016, -0.012]","-0.01 [-0.013, -0.008]"
"0.2 < p < 0.3","-0.028 [-0.031, -0.027]","-0.021 [-0.024, -0.019]","-0.017 [-0.019, -0.014]","-0.013 [-0.016, -0.011]"
"0.1 < p < 0.2","-0.03 [-0.033, -0.028]","-0.021 [-0.024, -0.019]","-0.016 [-0.019, -0.013]","-0.013 [-0.015, -0.01]"
"0.05 < p < 0.1","-0.015 [-0.017, -0.013]","-0.01 [-0.011, -0.008]","-0.007 [-0.009, -0.005]","-0.006 [-0.007, -0.004]"
"0.01 < p < 0.05","-0.004 [-0.009, 0.001]","0 [-0.002, 0.004]","0.001 [-0.001, 0.005]","0.002 [0, 0.006]"
"0.001 < p < 0.01","0.011 [0.006, 0.016]","0.009 [0.006, 0.013]","0.006 [0.004, 0.01]","0.005 [0.004, 0.009]"
"p < 0.001","0.172 [0.155, 0.195]","0.116 [0.097, 0.136]","0.074 [0.052, 0.094]","0.043 [0.019, 0.063]"
"ESR_{0.1}^{all}","0.164 [0.149, 0.188]","0.115 [0.097, 0.135]","0.073 [0.054, 0.094]","0.044 [0.024, 0.065]"
"ESR_{0.05}^{all}","0.179 [0.163, 0.202]","0.124 [0.106, 0.145]","0.08 [0.06, 0.102]","0.049 [0.028, 0.072]"
"ESR_{0.1}^{sig}","0.28 [0.262, 0.303]","0.196 [0.178, 0.22]","0.125 [0.105, 0.152]","0.075 [0.054, 0.104]"
"ESR_{0.05}^{sig}","0.335 [0.317, 0.358]","0.233 [0.212, 0.259]","0.151 [0.127, 0.181]","0.093 [0.068, 0.125]"
"No. of meta-analysis","708","708","708","708"
"No. of tests","64810","64810","64810","64810"
