"measure","heterogeneity_0","heterogeneity_0.25","heterogeneity_0.5","heterogeneity_0.75"
"0.9 < p","-0.001 [-0.005, -0.002]","0.003 [-0.001, 0.003]","0.007 [0.003, 0.007]","0.01 [0.006, 0.01]"
"0.8 < p < 0.9","-0.014 [-0.018, -0.015]","-0.01 [-0.014, -0.01]","-0.006 [-0.01, -0.006]","-0.003 [-0.007, -0.003]"
"0.7 < p < 0.8","-0.015 [-0.018, -0.015]","-0.011 [-0.015, -0.011]","-0.006 [-0.01, -0.006]","-0.003 [-0.007, -0.003]"
"0.6 < p < 0.7","-0.019 [-0.023, -0.02]","-0.015 [-0.019, -0.015]","-0.011 [-0.015, -0.011]","-0.008 [-0.011, -0.007]"
"0.5 < p < 0.6","-0.015 [-0.019, -0.016]","-0.011 [-0.015, -0.011]","-0.006 [-0.01, -0.006]","-0.003 [-0.007, -0.003]"
"0.4 < p < 0.5","-0.021 [-0.024, -0.022]","-0.016 [-0.02, -0.016]","-0.012 [-0.016, -0.012]","-0.009 [-0.012, -0.008]"
"0.3 < p < 0.4","-0.025 [-0.028, -0.026]","-0.019 [-0.023, -0.019]","-0.015 [-0.019, -0.015]","-0.012 [-0.016, -0.011]"
"0.2 < p < 0.3","-0.029 [-0.032, -0.03]","-0.022 [-0.026, -0.022]","-0.018 [-0.022, -0.018]","-0.014 [-0.018, -0.014]"
"0.1 < p < 0.2","-0.03 [-0.033, -0.031]","-0.022 [-0.025, -0.022]","-0.017 [-0.021, -0.017]","-0.014 [-0.018, -0.013]"
"0.05 < p < 0.1","-0.015 [-0.017, -0.014]","-0.01 [-0.012, -0.01]","-0.008 [-0.01, -0.007]","-0.006 [-0.008, -0.006]"
"0.01 < p < 0.05","-0.005 [-0.008, -0.001]","0 [-0.002, 0.001]","0 [-0.001, 0.001]","0.001 [0, 0.002]"
"0.001 < p < 0.01","0.011 [0.01, 0.014]","0.008 [0.007, 0.012]","0.006 [0.004, 0.008]","0.005 [0.004, 0.007]"
"p < 0.001","0.178 [0.182, 0.202]","0.126 [0.125, 0.156]","0.086 [0.084, 0.119]","0.056 [0.053, 0.091]"
"ESR_{0.1}^{all}","0.169 [0.174, 0.196]","0.124 [0.124, 0.157]","0.084 [0.083, 0.119]","0.056 [0.053, 0.09]"
"ESR_{0.05}^{all}","0.185 [0.19, 0.212]","0.134 [0.134, 0.168]","0.092 [0.091, 0.128]","0.062 [0.059, 0.098]"
"ESR_{0.1}^{sig}","0.292 [0.289, 0.322]","0.213 [0.2, 0.243]","0.145 [0.13, 0.174]","0.096 [0.08, 0.125]"
"ESR_{0.05}^{sig}","0.349 [0.347, 0.382]","0.253 [0.239, 0.285]","0.174 [0.157, 0.206]","0.117 [0.098, 0.148]"
"No. of meta-analysis","701","701","701","701"
"No. of tests","62942","62942","62942","62942"
