cID,exclusion_reason,n_primary_studies_pet_outlier_removed,n_primary_studies_random_effect_outlier_removed
1077-1,Random-effects outlier removal left fewer than 5 primary studies,6,4
1108-1,PET outlier removal left fewer than 5 primary studies,4,NA
1108-3,Random-effects outlier removal left fewer than 5 primary studies,5,3
127-3,Random-effects outlier removal left fewer than 5 primary studies,5,4
1307-1,Random-effects outlier removal left fewer than 5 primary studies,10,3
1349-2,Random-effects outlier removal left fewer than 5 primary studies,5,4
135-1,Random-effects outlier removal left fewer than 5 primary studies,7,1
135-2,PET outlier removal left fewer than 5 primary studies,0,NA
135-5,PET outlier removal left fewer than 5 primary studies,4,NA
135-6,PET outlier removal left fewer than 5 primary studies,2,NA
1471-1,Random-effects outlier removal left fewer than 5 primary studies,49,1
15-2,Random-effects outlier removal left fewer than 5 primary studies,5,3
15-3,Random-effects outlier removal left fewer than 5 primary studies,5,3
2002-1,PET outlier removal left fewer than 5 primary studies,2,NA
2002-3,Random-effects outlier removal left fewer than 5 primary studies,5,2
2081-3,PET outlier removal left fewer than 5 primary studies,4,NA
2110-1,PET outlier removal left fewer than 5 primary studies,0,NA
2127-2,Random-effects outlier removal left fewer than 5 primary studies,5,1
2605-5,PET outlier removal left fewer than 5 primary studies,4,NA
275-14,Random-effects outlier removal left fewer than 5 primary studies,5,4
275-16,Random-effects outlier removal left fewer than 5 primary studies,5,4
3117-1,Random-effects outlier removal left fewer than 5 primary studies,6,4
3278-5,PET outlier removal left fewer than 5 primary studies,2,NA
331-1,PET outlier removal left fewer than 5 primary studies,2,NA
3751-2,PET outlier removal left fewer than 5 primary studies,3,NA
3751-3,PET outlier removal left fewer than 5 primary studies,1,NA
3751-4,PET outlier removal left fewer than 5 primary studies,1,NA
390-1,PET outlier removal left fewer than 5 primary studies,0,NA
400-14,PET outlier removal left fewer than 5 primary studies,4,NA
4064-1,PET outlier removal left fewer than 5 primary studies,0,NA
753-14,Random-effects outlier removal left fewer than 5 primary studies,5,4
753-7,Random-effects outlier removal left fewer than 5 primary studies,5,4
813-2,Random-effects outlier removal left fewer than 5 primary studies,5,4
850-1,PET outlier removal left fewer than 5 primary studies,0,NA
963-1,PET outlier removal left fewer than 5 primary studies,0,NA
