cID,exclusion_reason,n_primary_studies_pet_outlier_removed,n_primary_studies_random_effect_outlier_removed,k_all_data,k_outlier_removed,n_outliers_removed,k_random_effect_outlier_removed,n_random_effect_outliers_removed,pet_peese_method_all_data,pet_peese_method_outlier_removed,pet_peese_estimate_all_data,pet_peese_estimate_outlier_removed,random_effect_estimate_all_data,random_effect_estimate_outlier_removed,random_effect_between_study_variance_all_data,random_effect_within_study_effect_size_variance_all_data,random_effect_between_study_variance_outlier_removed,random_effect_within_study_effect_size_variance_outlier_removed,random_effect_final_model_warnings
10-1,NA,86,86,341,325,16,339,2,PEESE,PEESE,-0.047500041865962885,-0.3428256436927811,1.6803292662218807,1.6818325089032562,1.6981805003850483,0.5016799879603985,1.67599710403482,0.4700864137622664,
1002-1,NA,8,8,60,60,0,60,0,PEESE,PEESE,0.11431578865081102,0.11431578865081102,0.10247960235776947,0.10247960235776947,0.0032523363515534914,0.004295958199825508,0.0032523363515534914,0.004295958199825508,
1009-1,NA,9,9,13,13,0,13,0,PET,PET,-0.024314930782451522,-0.024314930782451522,-0.14168451541771593,-0.14168451541771593,0.008895442306460659,3.995120098195825e-8,0.008895442306460659,3.995120098195825e-8,
1023-1,NA,23,23,279,275,4,275,4,PET,PET,-0.1515925429651186,-0.09534988736179408,-0.18333295090093168,-0.1601242245542141,0.2293888548400905,2.104331964931689e-8,0.17329525934344128,3.884074534976843e-9,
1023-2,NA,17,17,279,276,3,275,4,PET,PET,-0.5403244295335562,-0.5843975934483365,-0.12917310659495573,-0.15740730626145094,0.32788974231401,0.5588327675422798,0.2846004913466107,0.4957306760735418,
1062-1,NA,21,21,41,41,0,41,0,PEESE,PEESE,-0.543807118333935,-0.543807118333935,-0.6108717648886848,-0.6108717648886848,0.082951525391791,0.23163658670306939,0.082951525391791,0.23163658670306939,
1062-2,NA,25,25,38,38,0,38,0,PEESE,PEESE,-1.255254814789788,-1.255254814789788,-1.228252552315037,-1.228252552315037,4.023864441282411e-7,0.5515651147929106,4.023864441282411e-7,0.5515651147929106,
1075-1,NA,19,19,39,39,0,39,0,PEESE,PEESE,-0.11595449481086695,-0.11595449481086695,-0.10847694398830342,-0.10847694398830342,8.775812438711057e-10,0.006307101713120936,8.775812438711057e-10,0.006307101713120936,
1075-2,NA,13,13,19,19,0,19,0,PEESE,PEESE,-0.07365466729140693,-0.07365466729140693,-0.06889315157625485,-0.06889315157625485,0.0010864748375872852,0.0011456940865185658,0.0010864748375872852,0.0011456940865185658,
1077-1,NA,8,8,8,8,0,8,0,PEESE,PEESE,-2.6959960745415072,-2.6959960745415072,0.31345794379629083,0.31345794379629083,31.627209773100056,0,31.627209773100056,0,
