"","Difference","0.95 CI"
"0.9 < p","0.007","[0.003, 0.009]"
"0.8 < p < 0.9","-0.006","[-0.01, -0.003]"
"0.7 < p < 0.8","-0.006","[-0.01, -0.004]"
"0.6 < p < 0.7","-0.01","[-0.014, -0.008]"
"0.5 < p < 0.6","-0.006","[-0.01, -0.003]"
"0.4 < p < 0.5","-0.011","[-0.015, -0.008]"
"0.3 < p < 0.4","-0.014","[-0.019, -0.012]"
"0.2 < p < 0.3","-0.017","[-0.022, -0.014]"
"0.1 < p < 0.2","-0.017","[-0.021, -0.013]"
"0.05 < p < 0.1","-0.008","[-0.011, -0.005]"
"0.01 < p < 0.05","-0.001","[-0.004, 0.003]"
"0.001 < p < 0.01","0.005","[0.001, 0.008]"
"p < 0.001","0.083","[0.051, 0.123]"
"ESR_{0.1}^{all}","0.08","[0.056, 0.116]"
"ESR_{0.05}^{all}","0.087","[0.061, 0.126]"
"ESR_{0.1}^{sig}","0.136","[0.114, 0.181]"
"ESR_{0.05}^{sig}","0.164","[0.141, 0.216]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
