"","Difference","0.95 CI"
"0.9 < p","0.014","[0.01, 0.016]"
"0.8 < p < 0.9","0.001","[-0.002, 0.003]"
"0.7 < p < 0.8","0.001","[-0.002, 0.003]"
"0.6 < p < 0.7","-0.003","[-0.007, -0.001]"
"0.5 < p < 0.6","0.002","[-0.002, 0.004]"
"0.4 < p < 0.5","-0.003","[-0.007, -0.001]"
"0.3 < p < 0.4","-0.007","[-0.011, -0.004]"
"0.2 < p < 0.3","-0.009","[-0.014, -0.006]"
"0.1 < p < 0.2","-0.008","[-0.013, -0.005]"
"0.05 < p < 0.1","-0.004","[-0.007, -0.001]"
"0.01 < p < 0.05","0.002","[-0.003, 0.006]"
"0.001 < p < 0.01","0.002","[-0.002, 0.005]"
"p < 0.001","0.012","[-0.018, 0.054]"
"ESR_{0.1}^{all}","0.012","[-0.009, 0.048]"
"ESR_{0.05}^{all}","0.016","[-0.008, 0.055]"
"ESR_{0.1}^{sig}","0.021","[0.001, 0.065]"
"ESR_{0.05}^{sig}","0.029","[0.01, 0.082]"
"No. of meta-analysis","704","0"
"No. of tests","63956","0"
