"","Difference","0.95 Confidence interval"
"0.9 < p","-0.004","[-0.008, 0.002]"
"0.8 < p < 0.9","-0.014","[-0.019, -0.009]"
"0.7 < p < 0.8","-0.016","[-0.021, -0.011]"
"0.6 < p < 0.7","-0.02","[-0.025, -0.015]"
"0.5 < p < 0.6","-0.017","[-0.021, -0.012]"
"0.4 < p < 0.5","-0.015","[-0.019, -0.01]"
"0.3 < p < 0.4","-0.019","[-0.024, -0.015]"
"0.2 < p < 0.3","-0.022","[-0.026, -0.017]"
"0.1 < p < 0.2","-0.017","[-0.022, -0.013]"
"0.05 < p < 0.1","-0.008","[-0.011, -0.005]"
"0.01 < p < 0.05","0.003","[-0.001, 0.012]"
"0.001 < p < 0.01","0.013","[0.005, 0.023]"
"p < 0.001","0.137","[0.099, 0.173]"
"ESR_{0.1}^{all}","0.144","[0.102, 0.183]"
"ESR_{0.05}^{all}","0.152","[0.11, 0.193]"
"ESR_{0.1}^{sig}","0.247","[0.197, 0.282]"
"ESR_{0.05}^{sig}","0.287","[0.239, 0.336]"
"No. of meta-analysis","162","0"
"No. of tests","20003","0"
