"","Difference","0.95 Confidence interval"
"0.9 < p","0.004","[0.001, 0.011]"
"0.8 < p < 0.9","-0.014","[-0.017, -0.007]"
"0.7 < p < 0.8","-0.011","[-0.014, -0.004]"
"0.6 < p < 0.7","-0.008","[-0.011, -0.001]"
"0.5 < p < 0.6","-0.009","[-0.012, -0.002]"
"0.4 < p < 0.5","-0.017","[-0.02, -0.01]"
"0.3 < p < 0.4","-0.02","[-0.024, -0.013]"
"0.2 < p < 0.3","-0.025","[-0.029, -0.018]"
"0.1 < p < 0.2","-0.026","[-0.03, -0.019]"
"0.05 < p < 0.1","-0.014","[-0.017, -0.011]"
"0.01 < p < 0.05","0.001","[-0.002, 0.004]"
"0.001 < p < 0.01","0.015","[0.008, 0.019]"
"p < 0.001","0.124","[0.067, 0.158]"
"ESR_{0.1}^{all}","0.126","[0.063, 0.157]"
"ESR_{0.05}^{all}","0.14","[0.075, 0.173]"
"ESR_{0.1}^{sig}","0.258","[0.219, 0.298]"
"ESR_{0.05}^{sig}","0.321","[0.288, 0.368]"
"No. of meta-analysis","65","0"
"No. of tests","8490","0"
