"","Difference","0.95 Confidence interval"
"0.9 < p","0.002","[-0.005, 0.002]"
"0.8 < p < 0.9","0.002","[-0.004, 0.003]"
"0.7 < p < 0.8","-0.004","[-0.01, -0.003]"
"0.6 < p < 0.7","-0.013","[-0.019, -0.012]"
"0.5 < p < 0.6","-0.002","[-0.008, -0.001]"
"0.4 < p < 0.5","-0.016","[-0.021, -0.015]"
"0.3 < p < 0.4","-0.019","[-0.023, -0.018]"
"0.2 < p < 0.3","-0.021","[-0.025, -0.02]"
"0.1 < p < 0.2","-0.022","[-0.023, -0.02]"
"0.05 < p < 0.1","-0.008","[-0.009, -0.005]"
"0.01 < p < 0.05","-0.019","[-0.02, -0.008]"
"0.001 < p < 0.01","-0.002","[-0.003, 0.011]"
"p < 0.001","0.122","[0.107, 0.141]"
"ESR_{0.1}^{all}","0.093","[0.085, 0.137]"
"ESR_{0.05}^{all}","0.101","[0.093, 0.143]"
"ESR_{0.1}^{sig}","0.149","[0.112, 0.205]"
"ESR_{0.05}^{sig}","0.179","[0.142, 0.239]"
"No. of meta-analysis","40","0"
"No. of tests","12518","0"
