"","Difference","0.95 Confidence interval"
"0.9 < p","-0.015","[-0.026, -0.011]"
"0.8 < p < 0.9","-0.018","[-0.029, -0.015]"
"0.7 < p < 0.8","-0.01","[-0.021, -0.006]"
"0.6 < p < 0.7","-0.017","[-0.027, -0.013]"
"0.5 < p < 0.6","-0.011","[-0.022, -0.008]"
"0.4 < p < 0.5","-0.016","[-0.027, -0.013]"
"0.3 < p < 0.4","-0.022","[-0.033, -0.019]"
"0.2 < p < 0.3","-0.024","[-0.034, -0.022]"
"0.1 < p < 0.2","-0.028","[-0.038, -0.026]"
"0.05 < p < 0.1","-0.013","[-0.018, -0.013]"
"0.01 < p < 0.05","-0.001","[-0.006, 0.004]"
"0.001 < p < 0.01","0.012","[0.006, 0.022]"
"p < 0.001","0.164","[0.146, 0.251]"
"ESR_{0.1}^{all}","0.161","[0.133, 0.255]"
"ESR_{0.05}^{all}","0.174","[0.146, 0.272]"
"ESR_{0.1}^{sig}","0.284","[0.275, 0.367]"
"ESR_{0.05}^{sig}","0.336","[0.331, 0.439]"
"No. of meta-analysis","98","0"
"No. of tests","13115","0"
