"","Difference","0.95 Confidence interval"
"0.9 < p","-0.006","[-0.013, 0]"
"0.8 < p < 0.9","-0.031","[-0.038, -0.025]"
"0.7 < p < 0.8","-0.022","[-0.029, -0.016]"
"0.6 < p < 0.7","-0.035","[-0.041, -0.029]"
"0.5 < p < 0.6","-0.017","[-0.023, -0.011]"
"0.4 < p < 0.5","-0.04","[-0.046, -0.034]"
"0.3 < p < 0.4","-0.025","[-0.03, -0.02]"
"0.2 < p < 0.3","-0.047","[-0.051, -0.042]"
"0.1 < p < 0.2","-0.036","[-0.039, -0.034]"
"0.05 < p < 0.1","0.007","[0.004, 0.01]"
"0.01 < p < 0.05","0.003","[-0.005, 0.012]"
"0.001 < p < 0.01","0.014","[0.003, 0.025]"
"p < 0.001","0.236","[0.209, 0.268]"
"ESR_{0.1}^{all}","0.26","[0.213, 0.308]"
"ESR_{0.05}^{all}","0.253","[0.209, 0.301]"
"ESR_{0.1}^{sig}","0.488","[0.344, 0.586]"
"ESR_{0.05}^{sig}","0.556","[0.434, 0.656]"
"No. of meta-analysis","19","0"
"No. of tests","818","0"
