"","Difference","0.95 Confidence interval"
"0.9 < p","-0.019","[-0.027, -0.01]"
"0.8 < p < 0.9","-0.005","[-0.013, 0.003]"
"0.7 < p < 0.8","-0.024","[-0.032, -0.015]"
"0.6 < p < 0.7","-0.009","[-0.017, 0]"
"0.5 < p < 0.6","-0.011","[-0.019, -0.002]"
"0.4 < p < 0.5","-0.016","[-0.024, -0.008]"
"0.3 < p < 0.4","-0.021","[-0.029, -0.012]"
"0.2 < p < 0.3","-0.014","[-0.022, -0.006]"
"0.1 < p < 0.2","-0.025","[-0.034, -0.016]"
"0.05 < p < 0.1","0.005","[-0.004, 0.01]"
"0.01 < p < 0.05","0.041","[0.025, 0.048]"
"0.001 < p < 0.01","-0.008","[-0.023, 0.002]"
"p < 0.001","0.105","[0.034, 0.176]"
"ESR_{0.1}^{all}","0.142","[0.067, 0.214]"
"ESR_{0.05}^{all}","0.137","[0.06, 0.212]"
"ESR_{0.1}^{sig}","0.22","[0.116, 0.279]"
"ESR_{0.05}^{sig}","0.236","[0.141, 0.304]"
"No. of meta-analysis","41","0"
"No. of tests","792","0"
