"","Difference","0.95 Confidence interval"
"0.9 < p","0.037","[0.03, 0.043]"
"0.8 < p < 0.9","-0.012","[-0.018, -0.005]"
"0.7 < p < 0.8","-0.015","[-0.022, -0.009]"
"0.6 < p < 0.7","-0.016","[-0.023, -0.01]"
"0.5 < p < 0.6","-0.016","[-0.023, -0.009]"
"0.4 < p < 0.5","-0.021","[-0.028, -0.014]"
"0.3 < p < 0.4","-0.02","[-0.027, -0.013]"
"0.2 < p < 0.3","-0.023","[-0.031, -0.015]"
"0.1 < p < 0.2","-0.015","[-0.025, -0.007]"
"0.05 < p < 0.1","-0.005","[-0.011, 0]"
"0.01 < p < 0.05","0.028","[0.022, 0.035]"
"0.001 < p < 0.01","0.023","[0.019, 0.027]"
"p < 0.001","0.055","[-0.022, 0.135]"
"ESR_{0.1}^{all}","0.101","[0.039, 0.166]"
"ESR_{0.05}^{all}","0.106","[0.039, 0.177]"
"ESR_{0.1}^{sig}","0.158","[0.113, 0.22]"
"ESR_{0.05}^{sig}","0.177","[0.125, 0.251]"
"No. of meta-analysis","279","0"
"No. of tests","8220","0"
